date,vwretd
2011-11-30,0.0439
2011-12-01,-0.002276
2011-12-02,0.000109
2011-12-05,0.010297
2011-12-06,0.000382
2011-12-07,0.001915
2011-12-08,-0.022875
2011-12-09,0.017744
2011-12-12,-0.015558
2011-12-13,-0.011256
2011-12-14,-0.012735
2011-12-15,0.003744
2011-12-16,0.004972
2011-12-19,-0.012675
2011-12-20,0.030035
2011-12-21,0.002025
2011-12-22,0.008913
2011-12-23,0.007865
2011-12-27,1.5e-05
2011-12-28,-0.013647
2011-12-29,0.010781
2011-12-30,-0.002577
2012-01-03,0.016171
2012-01-04,-0.000454
2012-01-05,0.002932
2012-01-06,-0.002902
2012-01-09,0.002816
2012-01-10,0.010417
2012-01-11,0.000946
2012-01-12,0.003058
2012-01-13,-0.005319
2012-01-17,0.003902
2012-01-18,0.012304
2012-01-19,0.005595
2012-01-20,0.000882
2012-01-23,0.001609
2012-01-24,-0.0008
2012-01-25,0.009947
2012-01-26,-0.004903
2012-01-27,0.000702
2012-01-30,-0.003738
2012-01-31,-8.3e-05
2012-02-01,0.01121
2012-02-02,0.001833
2012-02-03,0.014682
2012-02-06,-0.000988
2012-02-07,0.001394
2012-02-08,0.002186
2012-02-09,0.001001
2012-02-10,-0.008389
2012-02-13,0.007442
2012-02-14,-0.001553
2012-02-15,-0.004222
2012-02-16,0.012475
2012-02-17,0.001385
2012-02-21,0.000156
2012-02-22,-0.003129
2012-02-23,0.005702
2012-02-24,0.001498
2012-02-27,0.000806
2012-02-28,0.002909
2012-02-29,-0.005684
2012-03-01,0.006807
2012-03-02,-0.004921
2012-03-05,-0.00456
2012-03-06,-0.017384
2012-03-07,0.007946
2012-03-08,0.010866
2012-03-09,0.004501
2012-03-12,-0.001366
2012-03-13,0.017621
2012-03-14,-0.003912
2012-03-15,0.006515
2012-03-16,0.001328
2012-03-19,0.004003
2012-03-20,-0.004507
2012-03-21,-0.001114
2012-03-22,-0.008117
2012-03-23,0.004484
2012-03-26,0.013964
2012-03-27,-0.003663
2012-03-28,-0.005519
2012-03-29,-0.001899
2012-03-30,0.003355
2012-04-02,0.008049
2012-04-03,-0.004445
2012-04-04,-0.011819
2012-04-05,-0.000801
2012-04-09,-0.011379
2012-04-10,-0.018023
2012-04-11,0.008519
2012-04-12,0.015087
2012-04-13,-0.012396
2012-04-16,-0.000582
2012-04-17,0.014951
2012-04-18,-0.00404
2012-04-19,-0.004662
2012-04-20,0.001632
2012-04-23,-0.009542
2012-04-24,0.003247
2012-04-25,0.013825
2012-04-26,0.00683
2012-04-27,0.003897
2012-04-30,-0.004314
2012-05-01,0.004876
2012-05-02,-0.00205
2012-05-03,-0.009948
2012-05-04,-0.015675
2012-05-07,0.000555
2012-05-08,-0.005355
2012-05-09,-0.006018
2012-05-10,0.002858
2012-05-11,-0.002767
2012-05-14,-0.012174
2012-05-15,-0.00603
2012-05-16,-0.004928
2012-05-17,-0.015851
2012-05-18,-0.008146
2012-05-21,0.01776
2012-05-22,-0.000478
2012-05-23,0.002815
2012-05-24,0.000983
2012-05-25,-0.001541
2012-05-29,0.011225
2012-05-30,-0.015504
2012-05-31,-0.001977
2012-06-01,-0.024513
2012-06-04,-0.001015
2012-06-05,0.007865
2012-06-06,0.0227
2012-06-07,-0.001369
2012-06-08,0.007115
2012-06-11,-0.013967
2012-06-12,0.011646
2012-06-13,-0.006954
2012-06-14,0.0095
2012-06-15,0.010111
2012-06-18,0.00219
2012-06-19,0.01164
2012-06-20,-0.001471
2012-06-21,-0.023472
2012-06-22,0.007254
2012-06-25,-0.01545
2012-06-26,0.00487
2012-06-27,0.009036
2012-06-28,-0.002109
2012-06-29,0.025635
2012-07-02,0.003868
2012-07-03,0.008966
2012-07-05,-0.004144
2012-07-06,-0.009964
2012-07-09,-0.002202
2012-07-10,-0.008814
2012-07-11,-0.00029
2012-07-12,-0.004878
2012-07-13,0.015261
2012-07-16,-0.00248
2012-07-17,0.006707
2012-07-18,0.006261
2012-07-19,0.002839
2012-07-20,-0.009917
